idCliente,idServidor,velocidad,distancia
0,1,300,8
4,7,300,5
5,7,300,5
6,7,300,2
8,27,600,4
9,27,900,3
10,27,300,3
11,27,600,10
12,27,300,6
13,27,900,10
14,27,900,6
15,27,900,1
16,27,900,6
17,27,900,10
18,27,900,4
19,27,600,8
20,27,300,3
21,27,600,6
22,27,900,6
23,27,900,1
24,27,600,9
25,27,900,1
26,27,900,3
28,37,600,4
29,37,900,5
30,37,300,1
31,37,300,1
32,37,600,5
33,37,600,4
34,37,300,7
35,37,300,4
36,37,600,4
41,48,600,5
42,48,900,8
43,48,300,2
44,48,300,2
45,48,900,10
46,48,900,10
47,48,600,6
49,53,600,9
50,53,900,9
51,53,600,6
52,53,900,6
54,55,300,5
56,57,900,6
61,81,600,8
62,81,300,8
63,81,600,8
64,81,900,8
65,81,300,8
66,81,300,7
67,81,600,4
68,81,900,4
69,81,600,9
70,81,900,2
71,81,300,2
72,81,600,7
73,81,300,10
74,81,900,1
75,81,600,2
76,81,300,6
77,81,300,3
78,81,600,1
79,81,900,2
80,81,300,2
82,88,300,9
83,88,900,2
84,88,600,1
85,88,300,3
86,88,300,5
87,88,900,8
90,92,900,10
91,92,600,4
93,104,900,4
94,104,300,10
95,104,300,1
96,104,300,8
97,104,300,4
98,104,600,7
99,104,300,3
100,104,900,6
101,104,900,8
102,104,900,4
103,104,300,2
105,110,300,7
106,110,900,8
107,110,600,6
108,110,600,10
109,110,600,5
115,122,300,1
116,122,300,7
117,122,300,9
118,122,600,7
119,122,900,4
120,122,900,10
121,122,300,5
123,136,600,1
124,136,300,8
125,136,600,3
126,136,300,6
127,136,900,5
128,136,900,10
129,136,300,5
130,136,600,3
131,136,600,3
132,136,600,3
133,136,300,9
134,136,300,2
135,136,900,4
137,139,900,2
138,139,900,7
140,142,900,7
141,142,300,8
143,145,600,5
144,145,600,5
146,152,600,3
147,152,900,3
148,152,600,8
149,152,600,9
150,152,600,6
151,152,900,8
154,155,600,3
156,162,600,3
157,162,900,4
158,162,300,6
159,162,900,8
160,162,900,9
161,162,300,1
163,164,600,9
165,168,900,4
166,168,900,5
167,168,900,5
169,171,600,1
170,171,900,3
172,174,600,3
173,174,900,10
175,182,900,3
176,182,600,4
177,182,900,2
178,182,600,6
179,182,600,9
180,182,900,2
181,182,600,9
183,188,300,3
184,188,300,2
185,188,600,10
186,188,300,1
187,188,300,2
189,193,300,9
190,193,900,5
191,193,300,1
192,193,900,5
194,204,900,1
195,204,900,8
196,204,600,8
